2021/02/20 12:11:58 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('9', '8', 0)
2021/02/20 12:12:05 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('10', '8', 0)
2021/02/20 12:12:05 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('16', '13', 0)
2021/02/20 12:12:05 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('17', '13', 0)
2021/02/20 12:12:05 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('18', '13', 0)
2021/02/20 12:12:05 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('19', '13', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('20', '13', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('22', '14', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('23', '14', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('24', '14', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('25', '14', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('37', '33', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('39', '33', 0)
2021/02/20 12:12:06 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('41', '8', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('42', '3', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('43', '3', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('44', '3', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('47', '8', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('48', '14', 0)
2021/02/20 12:12:07 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES ('49', '14', 0)
