2021/02/20 12:23:32 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (514, '8', 0)
2021/02/20 12:23:32 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (516, '8', 0)
2021/02/20 12:23:32 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (517, '13', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (518, '13', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (519, '13', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (520, '13', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (521, '13', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (522, '14', 0)
2021/02/20 12:23:33 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (523, '14', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (524, '14', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (525, '14', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (526, '33', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (527, '33', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (528, '8', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (529, '3', 0)
2021/02/20 12:23:34 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (530, '3', 0)
2021/02/20 12:23:35 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (531, '3', 0)
2021/02/20 12:23:35 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (532, '8', 0)
2021/02/20 12:23:35 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (533, '14', 0)
2021/02/20 12:23:35 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (534, '14', 0)
