2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 753, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 754, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 755, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 756, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 757, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 758, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 759, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 760, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 761, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 762, 0)
2021/02/27 09:56:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 763, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 764, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 765, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 766, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 767, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 768, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 769, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 770, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 771, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 772, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 773, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 774, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 775, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 776, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 777, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 778, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 779, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 780, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 781, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 782, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 783, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 784, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 785, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 786, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 787, 0)
2021/02/27 09:56:12 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 788, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 789, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 790, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 791, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 792, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 793, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 794, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 795, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 796, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 797, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 798, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 799, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 800, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 801, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 802, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 803, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 804, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 805, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 806, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 807, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 808, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 809, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 810, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 811, 0)
2021/02/27 09:56:13 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 812, 0)
2021/02/27 10:02:08 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 813, 0)
2021/02/27 10:02:08 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 814, 0)
2021/02/27 10:02:08 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1083, 815, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 816, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 817, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1085, 818, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 819, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 820, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 821, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 822, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 823, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1087, 824, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 825, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 826, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 827, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 828, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 829, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 830, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 831, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 832, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1090, 833, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 834, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 835, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1091, 836, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 837, 0)
2021/02/27 10:02:09 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 838, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1092, 839, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 840, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 841, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 842, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 843, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 844, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1094, 845, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 846, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 847, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1095, 848, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 849, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 850, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1096, 851, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 852, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 853, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1097, 854, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 855, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 856, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1098, 857, 0)
